NC_029256.1	ir1
NC_029257.1	ir2
NC_029258.1	ir3
NC_029259.1	ir4
NC_029260.1	ir5
NC_029261.1	ir6
NC_029262.1	ir7
NC_029263.1	ir8
NC_029264.1	ir9
NC_029265.1	ir10
NC_029266.1	ir11
NC_029267.1	ir12
NW_015379188.1	ir13
NW_015379189.1	ir14
NW_015379191.1	ir15
NW_015379198.1	ir16
NW_015379207.1	ir17
NW_015379208.1	ir18
NW_015379209.1	ir19
NW_015379211.1	ir20
NW_015379213.1	ir21
NW_015379215.1	ir22
NW_015379217.1	ir23
NW_015379220.1	ir24
NW_015379221.1	ir25
NW_015379224.1	ir26
NW_015379227.1	ir27
NC_001320.1	ir28
NC_011033.1	ir29
NC_001751.1	ir30
